,precision,recall,f1-score,support
0,0.9350473612990527,0.9394969408565602,0.9372668701254663,1471.0
1,0.8288633461047255,0.8439531859557867,0.836340206185567,769.0
2,1.0,1.0,1.0,423.0
3,0.8311688311688312,0.8812392426850258,0.8554720133667502,1162.0
4,0.652073732718894,0.539047619047619,0.5901981230448383,525.0
accuracy,0.8645977011494252,0.8645977011494252,0.8645977011494252,0.8645977011494252
macro avg,0.8494306542583008,0.8407473977089983,0.8438554425445244,4350.0
weighted avg,0.8606913731312741,0.8645977011494252,0.8617879721016013,4350.0
