,precision,recall,f1-score,support
0,0.9113842173350583,0.9578518014955812,0.934040437520716,1471.0
1,0.8667601683029453,0.8036410923276983,0.8340080971659919,769.0
2,1.0,1.0,1.0,423.0
3,0.8804971319311663,0.7925989672977625,0.8342391304347826,1162.0
4,0.5707395498392283,0.6761904761904762,0.6190061028770707,525.0
accuracy,0.856551724137931,0.856551724137931,0.856551724137931,0.856551724137931
macro avg,0.8458762134816796,0.8460564674623037,0.8442587535997121,4350.0
weighted avg,0.8627495825504474,0.856551724137931,0.8580896054917933,4350.0
