,precision,recall,f1-score,support
0,0.8743279569892473,0.874915938130464,0.8746218487394958,1487.0
1,0.8325471698113207,0.8209302325581396,0.8266978922716627,860.0
2,1.0,1.0,1.0,494.0
3,0.719435736677116,0.7624584717607974,0.7403225806451613,1204.0
4,0.5711206896551724,0.5047619047619047,0.5358948432760363,525.0
accuracy,0.8061269146608315,0.8061269146608315,0.8061269146608315,0.8061269146608315
macro avg,0.7994863106265713,0.7926133094422612,0.7955074329864712,4570.0
weighted avg,0.8044103341595097,0.8061269146608315,0.8048612814542567,4570.0
